,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
0,93.78294026,87.86479064,,,92.62460259,,,93.7835497
1,93.78294026,87.86479064,,,92.62460259,,,93.7835497
2,93.78294026,87.86479064,,,92.62460259,,,93.7835497
3,93.78294026,87.86479064,,,92.62460259,,,93.7835497
4,93.78294026,87.86479064,,,92.62460259,,,93.7835497
5,93.78294026,87.86479064,,,92.62460259,,,93.7835497
6,93.78294026,87.86479064,,,92.62460259,,,93.7835497
7,93.78294026,87.86479064,,,92.62460259,,,93.7835497
8,93.78294026,87.86479064,,,92.62460259,,,93.7835497
9,93.78294026,87.86479064,,,92.62460259,,,93.7835497
10,71.75,68.83264046,,,69.44164186,,,64.67573466
11,44.32,41.08,,,44.91044321,,,44.32202809
12,57.66,41.08,,,44.58773136,,,34.36847948
13,66.92,45.515,,,60.50339334,,,66.88375697
14,61.28,41.08,,,46.51857533,,,61.29066524
15,64.33,62.57970584,,,54.79816467,,,64.36472445
16,72.51,62.57970584,,,59.17893566,,,72.51766471
17,66.19,59.97956522,,,64.30171263,,,66.22695493
18,70,62.57970584,,,55.70712627,,,70.00919079
19,103.67,68.83264046,,,66.75605692,,,84.04698722
20,88.08,59.97956522,,,65.84246702,,,88.04564614
21,94.68,68.83264046,,,74.20139894,,,94.64278131
22,93.69,68.83264046,,,67.50144368,,,87.53203356
23,84.09,68.83264046,,,69.4224859,,,84.14778939
24,48.73,45.515,,,60.17071313,,,48.75476069
25,43.26,62.57970584,,,52.68796625,,,43.26420834
26,28.5,25.406,,,25.65441365,,,28.46301607
27,38.65,29.90846154,,,45.56097137,,,47.72683568
28,51.92,62.57970584,,,49.23656017,,,51.936542
29,59.55,30.44782609,,,37.37980272,,,50.89405975
30,41.04,62.57970584,,,48.4398938,,,41.05120109
31,34.5,30.44782609,,,35.8421117,,,34.45260229
32,37.7,41.08,,,34.99367839,,,37.62551615
33,45.84,35.5675,,,39.24620071,,,45.95068638
34,74.44,62.57970584,,,55.98363604,,,62.57510907
35,71.21,62.57970584,,,58.20426477,,,71.2141852
36,87.86,59.97956522,,,63.9849267,,,87.81598804
37,73.38,62.57970584,,,56.94074694,,,73.36148429
38,67.63,62.57970584,,,59.1422528,,,67.62956389
39,44.37,29.90846154,,,41.52442155,,,44.39781083
40,72.37,56.33111111,,,52.06381393,,,72.21982942
41,66.52,56.33111111,,,47.36762879,,,52.05266362
42,50.72,56.33111111,,,46.24308804,,,50.85226382
43,52.81,56.33111111,,,46.98917256,,,52.80358664
44,62.52,56.33111111,,,53.30707226,,,62.48149722
45,62.85,56.33111111,,,51.64397635,,,62.83497068
46,69.94,35.12625,,,52.19521388,,,59.62024658
47,74.14,62.57970584,,,55.31654871,,,74.1492843
48,77.64,52.36857143,,,62.49832118,,,77.63262147
49,50.76,52.36857143,,,48.48871293,,,50.74744664
50,43.19,52.36857143,,,58.72834457,,,43.19367259
51,26.69,25.406,,,27.67186447,,,26.73336599
52,33.22,25.406,,,25.83123173,,,33.15737541
53,32.44,29.90846154,,,38.52255531,,,38.14996117
54,56.8,62.57970584,,,49.73128206,,,68.41023693
55,71.28,62.57970584,,,50.64252199,,,71.1892538
56,72.91,51.03375,,,50.47495136,,,54.19430011
57,61.53,62.57970584,,,55.5456143,,,61.49505118
58,47.07,62.57970584,,,55.07696383,,,59.32938007
59,33.52,38.16444444,,,41.39344256,,,33.55243913
60,37.92,56.33111111,,,45.08254671,,,49.10635748
61,50.18,56.33111111,,,51.94776799,,,50.12749922
62,44.47,38.16444444,,,45.27881828,,,47.07017377
63,43.1,38.16444444,,,43.60371294,,,43.08959837
64,53.96,51.03375,,,49.2140237,,,53.93994503
65,50.15,62.57970584,,,52.84923678,,,50.24148406
66,41.16,51.03375,,,50.39046394,,,41.0243463
67,47.82,51.03375,,,51.16928439,,,48.03386877
68,77.03,68.83264046,,,63.21289284,,,76.96449849
69,75.81,59.97956522,,,63.35434424,,,68.52774648
70,73.5,68.83264046,,,64.4164735,,,73.54010573
71,77.4,51.03375,,,55.02225967,,,77.42328007
72,73.88,51.03375,,,54.50686101,,,73.78401152
73,68.59,62.57970584,,,54.25969389,,,68.49092028
74,72.74,62.57970584,,,53.38728071,,,56.90754255
75,60.28,62.57970584,,,51.66830311,,,60.31428316
76,53.7,51.03375,,,51.96723821,,,53.73718998
77,59.55,62.57970584,,,53.22480478,,,59.63884182
78,51.13,42.93492308,,,47.17007509,,,51.08032288
79,51.02,42.93492308,,,47.47600176,,,50.99458229
80,50.64,42.93492308,,,48.28192354,,,50.6962528
81,46.33,42.93492308,,,47.67583276,,,46.36755522
82,50.68,42.93492308,,,47.47874507,,,50.55210595
83,53.6,42.93492308,,,48.61307007,,,55.66630273
84,48.48,42.93492308,,,50.61312622,,,60.66709493
85,45.47,51.03375,,,52.66592146,,,45.60123329
86,56.79,51.03375,,,50.90392017,,,56.73024398
87,49.76,51.03375,,,54.00088401,,,66.80353272
88,43.35,51.03375,,,49.34964372,,,43.37796358
89,46.1,51.03375,,,49.34964372,,,45.98942122
90,43.97,51.03375,,,50.1016539,,,44.15234662
91,50.26,51.03375,,,52.85928379,,,50.15827382
92,43.49,38.16444444,,,45.19192363,,,43.47473141
93,45.61,51.03375,,,49.76448404,,,50.44408107
94,22.27,29.90846154,,,33.43789117,,,22.26944237
95,27.95,38.16444444,,,42.6526918,,,27.95887524
96,33.47,38.16444444,,,40.86028448,,,33.22837052
97,44.76,38.16444444,,,41.90421171,,,44.7443485
98,42.19,29.90846154,,,40.00463876,,,42.24605969
99,33.93,29.90846154,,,36.683187,,,33.84388537
100,52.87,51.03375,,,50.09035761,,,52.86090201
101,50.78,42.93492308,,,46.10001891,,,52.46126772
102,46.7,42.93492308,,,44.89845987,,,46.68413179
103,43.6,56.33111111,,,42.1295346,,,43.67522583
104,43.6,42.93492308,,,45.30418205,,,52.39934358
105,57.19,42.93492308,,,48.36775062,,,57.18796435
106,34.31,29.90846154,,,41.36187384,,,34.29976382
107,45.03,42.93492308,,,46.66338833,,,45.10771593
108,37.99,42.93492308,,,45.74783379,,,46.39792212
109,40.49,41.448,,,50.05696968,,,40.47509404
110,32.12,35.5675,,,43.85301316,,,32.1324666
111,39.09,41.08,,,37.70398042,,,39.08642286
112,29.62,41.08,,,36.69888176,,,29.62247881
113,35.84,41.08,,,42.25060068,,,36.30696323
114,53.85,68.83264046,,,58.80802672,,,53.83086825
115,49.85,42.93492308,,,47.7125785,,,46.76940909
116,27.66,41.08,,,35.75327753,,,27.57841299
117,31.67,41.08,,,40.52273403,,,27.00652466
118,18.51,19.22833333,,,22.28040162,,,18.5067644
119,20.87,19.22833333,,,22.29489535,,,20.8542324
120,21.94,19.22833333,,,23.03961031,,,19.82417274
121,17.15,35.12625,,,26.58224023,,,17.16998237
122,30.25,35.12625,,,44.64862888,,,30.22820086
123,43.95,42.93492308,,,46.62494475,,,43.92344748
124,43.15,42.93492308,,,46.09396625,,,43.22769771
125,65.45,61.21583333,,,63.39255625,,,65.43224673
126,77.38,87.86479064,,,94.48732523,,,91.8705263
127,84.23,87.86479064,,,91.96747919,,,84.2455
128,93.54,95.38214286,,,109.8200136,,,93.55387925
129,88.14,97.82258805,,,107.5306548,,,88.16256273
130,49.49,52.36857143,,,62.16933721,,,67.64654347
131,87.17,97.82258805,,,103.9102502,,,87.19719266
132,56.82,84.2534674,,,78.83879955,,,56.8606543
133,98.76,97.82258805,,,105.9495197,,,98.73379673
134,84.74,95.38214286,,,108.4932321,,,84.77112194
135,99.29,95.38214286,,,118.8893423,,,99.27985027
136,131.56,95.38214286,,,122.7090089,,,142.6961551
137,110.2,95.38214286,,,111.2460218,,,110.1883411
