,Actual,Predicted from Decision_tree,,,Predicted from random_forest,,,Predicted from Xgboost
0,43.72922961,44.77470443,,,45.94597152,,,44.27454954
1,43.72922961,44.77470443,,,45.94597152,,,44.27454954
2,43.72922961,44.77470443,,,45.94597152,,,44.27454954
3,43.72922961,44.77470443,,,45.94597152,,,44.27454954
4,43.72922961,44.77470443,,,45.94597152,,,44.27454954
5,43.72922961,44.77470443,,,45.94597152,,,44.27454954
6,43.72922961,44.77470443,,,45.94597152,,,44.27454954
7,43.72922961,44.77470443,,,45.94597152,,,44.27454954
8,43.72922961,44.77470443,,,45.94597152,,,44.27454954
9,43.72922961,44.77470443,,,45.94597152,,,44.27454954
10,17.68,29.02273206,,,28.85550995,,,18.30457063
11,13.43,13.155,,,15.58506627,,,13.33264964
12,12.76,13.32769231,,,11.90585619,,,13.14230223
13,15.39,10.469,,,12.02604261,,,12.11730851
14,12.11,13.32769231,,,12.09704366,,,12.30351737
15,10.32,13.32769231,,,12.81572895,,,10.70977872
16,12.21,13.32769231,,,17.27693095,,,14.17455455
17,14.09,10.469,,,12.92371127,,,11.24014372
18,11.76,14.54,,,17.39777913,,,12.70592598
19,16.02,38.3775,,,32.51575572,,,22.62989022
20,13.78,21.03875,,,21.4351586,,,10.24094635
21,19.75,21.03875,,,24.50551161,,,18.33668982
22,17.09,21.03875,,,23.3256156,,,17.43332808
23,16.95,35.27542495,,,22.30327446,,,19.12222709
24,14.04,13.00142857,,,16.316049,,,10.95566778
25,11.84,9.73,,,13.05828394,,,9.055585457
26,2.95,7.222222222,,,11.98943402,,,5.096301025
27,7.06,9.73,,,9.76952078,,,5.952505691
28,9.52,10.469,,,11.29961485,,,11.30615484
29,11.3,10.469,,,12.10752137,,,11.8730413
30,11,9.73,,,11.77176371,,,11.68950001
31,10.63,13.155,,,12.86439709,,,15.31739317
32,9.42,13.155,,,15.26902525,,,10.68163209
33,14.09,13.155,,,16.57982314,,,17.81618393
34,10.75,10.469,,,13.43913953,,,11.7751982
35,8.87,13.32769231,,,11.8580771,,,9.377627959
36,13.56,27.59560423,,,16.13019738,,,14.50219213
37,9.81,13.32769231,,,13.32875314,,,16.04519516
38,9.03,10.469,,,12.18288835,,,12.99340356
39,5.41,9.73,,,9.567077928,,,7.390935062
40,6.7,10.469,,,10.46974637,,,8.036614456
41,6.49,8.13375,,,9.809756175,,,7.32650294
42,6.45,9.73,,,10.36116713,,,7.457890675
43,5.36,8.13375,,,11.14378564,,,7.043857288
44,7.75,8.13375,,,11.14440495,,,8.524048681
45,7.41,8.13375,,,11.79794574,,,8.596663412
46,7.82,14.54,,,14.48530974,,,10.72753465
47,11.57,14.54,,,18.79551427,,,12.99518838
48,15.13,35.27542495,,,20.95877159,,,16.70385313
49,14.37,13.155,,,16.69941351,,,13.26513652
50,19.88,9.73,,,21.83740369,,,14.65565713
51,6.57,7.222222222,,,9.440394535,,,6.121963201
52,3.1,7.222222222,,,8.767562772,,,2.085903732
53,4.24,7.222222222,,,8.077943207,,,3.540197743
54,9.68,8.13375,,,10.01462585,,,8.428821006
55,8.66,10.469,,,10.30933288,,,8.175598141
56,10.05,10.469,,,10.73418408,,,9.783098983
57,9.86,10.469,,,10.19007723,,,8.05607591
58,9.07,9.73,,,9.564947081,,,8.659620325
59,6.34,7.222222222,,,8.560809814,,,4.473494081
60,6.9,9.73,,,8.828858135,,,5.568359435
61,7.4,9.73,,,9.829941666,,,8.283687527
62,7.49,9.73,,,9.699056913,,,7.511857282
63,6.51,9.73,,,10.5561838,,,10.8116669
64,10.1,13.32769231,,,10.72532773,,,9.932663067
65,11,9.73,,,10.31946467,,,9.84669083
66,10.09,9.73,,,9.558443331,,,9.063874837
67,11.5,9.73,,,9.842746925,,,7.084139276
68,17.26,14.909,,,13.58875444,,,17.06263518
69,15.53,14.909,,,12.283066,,,15.01414502
70,15.68,13.32769231,,,12.39279835,,,14.39267486
71,12.81,14.909,,,13.31780263,,,13.19070164
72,12.37,10.469,,,12.23253355,,,11.92576639
73,12.19,29.02273206,,,11.53111604,,,13.59531533
74,12.28,14.54,,,12.57084689,,,13.06941817
75,9.81,8.13375,,,10.39016615,,,9.681673093
76,9.93,8.13375,,,10.49493051,,,9.652431566
77,9.75,8.13375,,,11.53633924,,,11.32005061
78,8.01,14.54,,,11.81251444,,,12.75790466
79,8.66,9.73,,,12.73603598,,,9.992652696
80,12.19,13.00142857,,,16.02263321,,,14.81540927
81,9.47,9.73,,,13.96564418,,,10.60769043
82,9.57,9.73,,,13.91724159,,,9.044649611
83,13.29,29.02273206,,,15.39560203,,,13.44226195
84,9.8,9.73,,,12.36405489,,,9.659611147
85,9.97,9.73,,,12.2330762,,,9.871341717
