City,PM2_5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,Xylene,AT,RF,TOT-RF,date,day,month,year
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,01-06-2019,1,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,02-06-2019,2,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,03-06-2019,3,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,04-06-2019,4,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,05-06-2019,5,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,06-06-2019,6,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,07-06-2019,7,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,08-06-2019,8,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,09-06-2019,9,6,2019
Mumbai,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,10-06-2019,10,6,2019
Mumbai,17.68,71.75,7.77,25.71,33.48,17.43,5.81,0.38,41.26,3.82,NaN,8.06,66.62,71.9,1.04,214.22,388.96,997.59,NaN,31.6,NaN,0,11-06-2019,11,6,2019
Mumbai,13.43,44.32,4.35,13.28,17.47,16.61,5.15,0.26,21.67,2.74,NaN,6.24,55.55,80.38,1.5,171.86,203.58,997.65,NaN,28.03,NaN,0,12-06-2019,12,6,2019
Mumbai,12.76,57.66,3.56,8.42,11.98,18.01,1.95,0.3,19.06,2.92,NaN,6.66,34.88,84.8,1.77,182.4,372.14,999.38,NaN,28.12,NaN,0,13-06-2019,13,6,2019
Mumbai,15.39,66.92,5.7,7.4,13.1,16.8,2.21,0.09,10.76,2.29,NaN,5.53,61.85,87.17,1.49,190.7,327.94,1000.56,NaN,28.03,NaN,0,14-06-2019,14,6,2019
Mumbai,12.11,61.28,6.34,6.02,12.23,15.85,3.6,0.04,9.53,2.81,NaN,6.05,77.1,89.2,1.42,190.32,310.38,1002.22,NaN,28.14,NaN,0,15-06-2019,15,6,2019
Mumbai,10.32,64.33,3.26,3.28,6.54,11.25,1.81,0.03,9.65,2.15,NaN,6.08,58.99,85.74,1.41,203.19,325.68,1004.03,NaN,28.96,NaN,0,16-06-2019,16,6,2019
Mumbai,12.21,72.51,7.51,3.88,11.4,7.91,2.41,0.07,9.22,2.68,NaN,12.15,70.93,82.39,1.66,215.26,352.21,1004.67,NaN,29.32,NaN,0,17-06-2019,17,6,2019
Mumbai,14.09,66.19,7.6,6.44,14.04,6.58,2.76,0.1,10.17,2.29,NaN,67.54,235.76,85.05,1.41,213.72,243.25,1002.68,NaN,28.15,NaN,0,18-06-2019,18,6,2019
Mumbai,11.76,70,11.01,7.12,18.13,6.89,1.93,0.06,8.24,2.37,NaN,23.22,115.59,86.1,0.97,205.68,276.81,1001.95,NaN,28.27,NaN,0,19-06-2019,19,6,2019
Mumbai,16.02,103.67,12.66,8.54,21.2,7.32,1.68,0.09,8.84,2.35,NaN,8.51,65.7,77.47,0.9,229.82,393.82,1002.98,NaN,30.26,NaN,0,20-06-2019,20,6,2019
Mumbai,13.78,88.08,13.24,7.27,20.21,7.36,1.56,0.25,7.88,4.01,NaN,7.57,67.77,76.96,0.93,227.95,363.56,1003.35,NaN,30.07,NaN,0,21-06-2019,21,6,2019
Mumbai,19.75,94.68,12.15,12.47,24.62,8.75,1.24,0.31,12.08,2.89,NaN,5.74,49.22,74.82,0.97,240.76,382.69,1003.29,NaN,30.24,NaN,0,22-06-2019,22,6,2019
Mumbai,17.09,93.69,10.14,12.35,22.49,8.84,0.75,0.28,14.36,2.21,NaN,5.38,58.53,74.45,0.89,251.08,285.3,1002.46,NaN,30.22,NaN,0,23-06-2019,23,6,2019
Mumbai,16.95,84.09,8.44,8.61,17.05,7.69,1.52,0.32,10.2,1.95,NaN,4.49,35.42,79.43,0.92,211.5,150.11,1003.49,NaN,28.85,NaN,0,24-06-2019,24,6,2019
Mumbai,14.04,48.73,8.1,9.32,17.42,9.76,2.02,0.3,10.23,2.46,NaN,6.11,38.24,78.51,1.08,209.93,357.83,1004.43,NaN,29.29,NaN,0,25-06-2019,25,6,2019
Mumbai,11.84,43.26,9.87,8.28,18.15,8.65,2.08,0.37,8.43,2.89,NaN,6.81,48.84,81.67,1.21,203.42,285.12,1004.04,NaN,28.89,NaN,0,26-06-2019,26,6,2019
Mumbai,2.95,28.5,11.22,9.22,20.43,9.72,2.36,0.51,8.88,12.71,NaN,7.69,91.6,87.24,1.21,191.38,262.13,1002.9,NaN,27.93,NaN,0,27-06-2019,27,6,2019
Mumbai,7.06,38.65,7.19,8.05,15.24,6.03,2.01,0.42,19.39,2.97,NaN,5.18,34.31,92.27,2.1,212.46,22.65,1002.67,NaN,26.56,NaN,0,28-06-2019,28,6,2019
Mumbai,9.52,51.92,7.35,11.25,18.6,5.65,1.91,0.46,24.87,1.07,NaN,6.17,36.88,94.92,1.84,212.51,84.49,1002.8,NaN,25.37,NaN,0,29-06-2019,29,6,2019
Mumbai,11.3,59.55,8,11.05,19.05,5.08,2,0.48,16.67,1.82,NaN,7.38,75.73,93.96,1.61,197.76,92.97,1002.96,NaN,26.14,NaN,0,30-06-2019,30,6,2019
Mumbai,11,41.04,12.12,12.91,25.03,5.46,2.28,0.56,19.28,1.48,NaN,9.38,55.22,98.03,3.27,206.1,73.8,1001.86,NaN,24.96,NaN,0,01-07-2019,1,7,2019
Mumbai,10.63,34.5,13.39,16.82,30.21,7.6,2.46,0.63,12.46,1.46,NaN,6.98,62.13,97.69,2.22,128.73,132.16,1002.78,NaN,24.76,NaN,0,02-07-2019,2,7,2019
Mumbai,9.42,37.7,13.83,11.11,24.9,8.9,2.46,0.52,8.41,2.87,NaN,8.6,55.78,93.86,0.8,189.87,211.69,1003.15,NaN,25.96,NaN,0,03-07-2019,3,7,2019
Mumbai,14.09,45.84,13.94,10.02,23.46,8.39,2.55,0.57,6.92,1.19,NaN,6.66,60.57,94.6,0.8,186.26,149.79,1002.51,NaN,26.59,NaN,0,04-07-2019,4,7,2019
Mumbai,10.75,74.44,6.75,6.51,13.26,6.95,2.06,0.37,14.45,1.2,NaN,9.7,42.23,90.88,1.83,227.02,114.75,1001.09,NaN,27.55,NaN,0,05-07-2019,5,7,2019
Mumbai,8.87,71.21,4.06,4.82,8.88,4.83,1.93,0.34,17.89,1.17,NaN,10.26,43.29,90.05,2.31,222.48,106.11,1000.28,NaN,27.7,NaN,0,06-07-2019,6,7,2019
Mumbai,13.56,87.86,3.54,4.06,7.6,3.01,1.78,0.32,16.42,1.04,NaN,10.21,57.2,87.75,2.46,228.51,145.72,1001.41,NaN,28.72,NaN,0,07-07-2019,7,7,2019
Mumbai,9.81,73.38,4.97,5.54,10.51,2.66,1.76,0.35,14.33,1.7,NaN,9.14,33.15,92,1.95,212.76,25.03,1002.75,NaN,27.52,NaN,0,08-07-2019,8,7,2019
Mumbai,9.03,67.63,21.76,5.46,24.62,3.1,2.29,0.31,14,1.42,NaN,11.78,77.52,90.25,1.57,214.72,230.28,1002.16,NaN,27.99,NaN,0,09-07-2019,9,7,2019
Mumbai,5.41,44.37,12.57,10.86,23.28,4.84,2.53,0.34,13.24,4.1,NaN,3.86,20.91,94.34,1.5,212.84,70.16,1002.26,NaN,26.45,NaN,0,10-07-2019,10,7,2019
Mumbai,6.7,72.37,7.75,7.07,14.82,5.01,2.18,0.14,11.58,2.69,NaN,4.48,19.97,89.7,1.67,218.64,240.64,1004.61,NaN,28.19,NaN,0,11-07-2019,11,7,2019
Mumbai,6.49,66.52,6.64,6.48,13.05,4.63,2.12,0.14,11.32,2.89,NaN,3.98,20.15,88.1,1.44,214.95,369.32,1006.03,NaN,28.48,NaN,0,12-07-2019,12,7,2019
Mumbai,6.45,50.72,7.05,6.78,13.83,4.12,4.48,0.14,10.83,2.4,NaN,4.26,19.11,89.97,1.56,222.61,168.24,1007.07,NaN,28,NaN,0,13-07-2019,13,7,2019
Mumbai,5.36,52.81,8.37,7.18,15.55,3.19,7.88,0.16,11.72,2.3,NaN,3.72,18.08,86.56,1.42,230.53,255.37,1006.66,NaN,28.77,NaN,0,14-07-2019,14,7,2019
Mumbai,7.75,62.52,6.9,7.88,14.78,3.32,9.62,0.15,12.7,2.04,NaN,4.06,16.99,85.11,1.62,229.9,265.03,1005.34,NaN,29,NaN,0,15-07-2019,15,7,2019
Mumbai,7.41,62.85,11.27,7.73,19,3.16,10.56,0.18,9.31,1.83,NaN,3.95,19.08,85.13,1.36,225.26,269.78,1006.05,NaN,28.88,NaN,0,16-07-2019,16,7,2019
Mumbai,7.82,69.94,12.34,7.69,20.03,2.85,11.33,0.18,7.7,3.1,NaN,4.47,27.61,84.55,1.15,217.7,339.75,1005.91,NaN,28.95,NaN,0,17-07-2019,17,7,2019
Mumbai,11.57,74.14,15.01,8.8,23.77,2.87,12.22,0.21,8.3,2.29,NaN,3.98,28.66,79.47,1.04,226.25,374.15,1004.16,NaN,29.88,NaN,0,18-07-2019,18,7,2019
Mumbai,15.13,77.64,12.96,11.72,24.68,3.78,8.27,0.22,7.71,3.06,NaN,5.92,30.98,77.97,0.82,222.85,344.78,1002.35,NaN,30.05,NaN,0,19-07-2019,19,7,2019
