City,PM2_5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O,WS,WD,SR,date,day,month,year
Nasik,69.82,112.9,29.52,69.9,60.61,18.84,11.29,1.79,57.32,12.65,48.62,9.01,25.81,NaN,1.96,165.97,623.42,01-01-2019,1,1,2019
Nasik,56.98,115.25,35.29,62.18,61.86,22.69,7.15,1.55,63.86,9.89,43,8.7,23.53,NaN,1.56,200.62,610.37,02-01-2019,2,1,2019
Nasik,62.25,102.4,21.63,64.8,52.68,24.03,9.56,1.5,50.19,10.44,41.86,8.13,22.68,NaN,1.7,170.23,586.97,03-01-2019,3,1,2019
Nasik,49.27,99.75,18.97,65.31,49.83,35.75,10.81,1.4,64.64,10.15,38.43,7.51,20.52,NaN,1.84,161.11,618.1,04-01-2019,4,1,2019
Nasik,43.93,83.52,14.01,51.42,39.85,37.71,10.77,1.23,64.95,7.6,27.04,4.78,13.85,NaN,1.77,194.58,521.27,05-01-2019,5,1,2019
Nasik,34.08,62.15,7.9,40.51,28.17,37.96,5.24,0.93,66.69,6.87,17.41,2.29,7.6,NaN,1.84,223.83,566.58,06-01-2019,6,1,2019
Nasik,46.86,95.98,16.97,60.41,45.83,34.85,23.25,1.28,55.9,9.44,35.68,6.03,19.24,NaN,2.43,183.6,629.17,07-01-2019,7,1,2019
Nasik,62.15,121.85,20.8,65.08,51,37.84,17.85,1.44,64.48,10.59,41.01,6.91,21.57,NaN,2.04,196.77,597.09,08-01-2019,8,1,2019
Nasik,53.77,100.62,25.65,60.88,50.36,37.61,12.37,1.49,55.36,9.43,40.62,7.71,22.27,NaN,2.08,159.56,600.06,09-01-2019,9,1,2019
Nasik,69.89,132.64,35.42,83.8,73.16,45.06,10.14,2.05,47.16,15.85,64.56,12.21,35.15,NaN,2.12,192.44,566.45,10-01-2019,10,1,2019
Nasik,64.71,123.82,12.65,59.61,42.32,44.02,9.59,1.41,57.44,12.22,37.84,7.22,19.38,NaN,1.71,200.03,541.9,11-01-2019,11,1,2019
Nasik,44.05,79.8,5.01,42.12,26.25,43.79,5.4,1,73.74,6.47,17.4,2.93,8.75,NaN,2.15,192.13,495.79,12-01-2019,12,1,2019
Nasik,45.07,75.54,7.16,43.6,28.65,46.84,8.72,1,71.61,6.61,21.35,3.14,9.56,NaN,1.69,177.18,576.59,13-01-2019,13,1,2019
Nasik,49.83,86.65,8.51,61.16,39.88,45.73,9.59,1.22,66.24,8.7,32.34,5.11,17.45,NaN,2.72,163.66,553.29,14-01-2019,14,1,2019
Nasik,53.19,99.82,22.26,61.49,50.18,41.3,14.88,1.49,56.69,9.96,43.06,7.31,23.59,NaN,2.16,194.35,583.82,15-01-2019,15,1,2019
Nasik,58.72,113.12,18.5,66.57,50.48,47.44,7.74,1.51,54.12,11.23,44.53,8.18,24.73,NaN,1.71,196.49,536.45,16-01-2019,16,1,2019
Nasik,50,88.66,3.52,44.27,25.98,43.12,6.73,0.94,69.33,6.61,17.92,2.37,8.09,NaN,1.82,175.82,571.49,17-01-2019,17,1,2019
Nasik,43.59,79.49,5.17,33.21,21.29,36.96,6.47,0.65,70.38,4.88,16.23,2.38,8.21,NaN,1.87,137.56,620.83,18-01-2019,18,1,2019
Nasik,49.09,107.48,29.56,72.16,61.9,48.19,17.79,1.66,63.4,11.39,51.7,9.28,28.88,NaN,2.24,167.66,630.61,19-01-2019,19,1,2019
Nasik,45.01,82.46,12.03,55.2,38.56,40.65,7.82,1.27,62.71,7.73,31.81,5.36,16.97,NaN,1.86,164.93,579.95,20-01-2019,20,1,2019
Nasik,44.37,113.85,1.6,38.64,21.35,40.05,4.92,0.77,80.56,4.7,16.67,1.93,6.8,NaN,2.13,221.4,501.21,21-01-2019,21,1,2019
Nasik,27.21,95.03,1.66,29.28,16.36,39.27,3.81,0.54,54.9,3.4,9.73,0.83,4.12,NaN,2.55,226.26,478.01,22-01-2019,22,1,2019
Nasik,25.73,75.44,2.76,27.46,16.47,39.12,3.86,0.57,51.42,4.92,11.21,1.15,3.88,NaN,1.92,247.09,500.31,23-01-2019,23,1,2019
Nasik,28.33,73.65,1.13,25.7,14.08,34.7,10.42,0.51,NaN,2.67,7.52,0.61,2.35,NaN,2.05,218.2,623.15,24-01-2019,24,1,2019
Nasik,28.97,67.41,0.97,22.02,12.06,27.49,4.38,0.48,113.05,2.86,5.12,0.44,1.47,NaN,2.09,244.09,593.14,25-01-2019,25,1,2019
Nasik,34.21,65.68,2.64,28.67,16.76,30.91,4.07,0.65,74.74,4.59,10.01,1.02,4.43,NaN,2.89,138.52,531.92,26-01-2019,26,1,2019
Nasik,29.57,52.83,2.06,28.91,16.28,26.87,3.97,0.54,73.7,2.98,6.95,0.6,2.92,NaN,3.06,128.16,668.32,27-01-2019,27,1,2019
Nasik,26.2,49.29,1.38,32.56,17.94,22.11,6.63,0.6,81.17,2.89,10.36,0.85,4.93,NaN,3.19,129.25,628.61,28-01-2019,28,1,2019
Nasik,33.39,66.6,18.24,46.97,39.41,23.97,11.03,1.07,63.94,7.85,31.78,5.34,17.05,NaN,2.69,160.81,675.26,29-01-2019,29,1,2019
Nasik,43.39,82.2,8.15,53.63,35.03,31.64,11.31,1.17,65.37,11.04,28.3,4.67,14.4,NaN,1.95,171.76,640.88,30-01-2019,30,1,2019
Nasik,42.3,81.37,14.05,48.36,36.2,35.58,13.13,1.17,63.96,10.18,31.02,5.09,16,NaN,1.8,171.74,621.29,31-01-2019,31,1,2019
Nasik,36.61,82.14,4.49,41.58,25.65,40.52,7.59,0.95,55.26,5.64,15.47,6.51,8.01,NaN,1.97,197.04,534.31,01-02-2019,1,2,2019
Nasik,45.35,79.36,2.4,37.07,21.36,40,13.24,0.81,80.06,3.08,12.19,2.33,4.65,NaN,1.99,182.74,583.72,02-02-2019,2,2,2019
Nasik,45.55,75.71,8.88,41.09,29.08,44.15,5.9,1.04,58.29,3.29,15.5,3.7,6.48,NaN,1.8,170.06,485.2,03-02-2019,3,2,2019
Nasik,51.46,84.71,11.95,48.62,35.93,43.14,5.38,1.13,51.24,3.75,20.53,5.43,10.15,NaN,2.3,166.64,536.76,04-02-2019,4,2,2019
Nasik,50.39,107.27,6.14,44.32,28.36,43.5,11.03,0.87,63.01,3.35,16.99,3.94,7.11,NaN,2.21,182.3,544.44,05-02-2019,5,2,2019
Nasik,48.65,167.65,1.4,30.12,16.61,43.05,4.26,0.66,82.85,2.33,12.34,2.55,3.55,NaN,2.66,224.3,518.23,06-02-2019,6,2,2019
Nasik,27.79,131.2,0.63,16.71,8.93,31.22,3.89,0.31,78.92,0.76,5.78,0.69,1.22,NaN,3.26,281.66,526.49,07-02-2019,7,2,2019
Nasik,37.47,138.12,0.79,19.11,10.29,28.28,3.48,0.35,65.65,0.96,5.97,0.65,0.99,NaN,2.37,250.11,580.57,08-02-2019,8,2,2019
Nasik,44.04,113.53,2.9,32.14,19.12,23,5.21,0.6,57.13,2.14,10.14,1.7,3.53,NaN,2.84,149.75,691.43,09-02-2019,9,2,2019
Nasik,46.41,108.78,9.09,44.37,31.06,29.12,10.79,1.01,53.91,3.39,15.05,3.36,6.2,NaN,2.29,176.49,697.25,10-02-2019,10,2,2019
Nasik,10.17,134.87,6.19,44.66,28.18,33.35,6.16,1.43,42.12,4.94,24.26,6.77,11.18,NaN,2.3,195.57,605.11,11-02-2019,11,2,2019
Nasik,62.07,104.07,15.81,53.44,42.5,58.08,7.43,1.2,48.21,4.45,19.76,5.47,9.25,NaN,1.84,189.63,622.95,12-02-2019,12,2,2019
Nasik,37.74,67.76,1.22,30.02,16.32,42.91,6.14,0.67,77.29,2.31,10.04,1.8,3.48,NaN,1.87,224.41,626.11,13-02-2019,13,2,2019
Nasik,43.96,68.5,1.11,26.42,14.42,41.22,4.64,0.64,63.89,2.15,9.23,1.48,2.11,NaN,2.04,229.77,587.8,14-02-2019,14,2,2019
Nasik,50.38,126.96,1.02,24.16,13.15,36.87,4.99,0.64,79.2,1.83,8.21,1.18,1.76,NaN,2.5,235.73,578.81,15-02-2019,15,2,2019
Nasik,46.88,62.55,2.74,27.96,16.73,33.25,4.7,0.83,76.32,2.87,11.33,1.91,3.11,NaN,1.9,177.2,695.87,16-02-2019,16,2,2019
Nasik,46.71,59.03,0.72,24.22,12.88,31.95,7.91,0.74,98.44,2.18,8.57,1.29,2,NaN,1.95,173.68,683.32,17-02-2019,17,2,2019
Nasik,37.18,65.32,0.88,27.74,14.93,33.98,3.9,0.76,86.7,2.56,9.55,1.51,2.29,NaN,1.92,196.36,689.73,18-02-2019,18,2,2019
Nasik,33.8,53.21,2.36,29.77,17.14,37.18,4.53,0.85,75.56,2.98,10,1.7,2.58,NaN,1.92,189.85,653.8,19-02-2019,19,2,2019
Nasik,35.37,74.62,1.61,33.38,18.8,38,9.42,0.97,79.7,2.96,12.21,2.3,4.22,NaN,2.3,169.58,700.19,20-02-2019,20,2,2019
Nasik,45.16,88.86,1.43,25.6,14.04,41.1,4.41,0.89,98.54,3.05,10.4,1.99,2.75,NaN,2.22,220.85,619.63,21-02-2019,21,2,2019
Nasik,36.02,78.58,1.22,15.14,8.77,35.37,4.96,0.7,81.19,2.15,7.36,1.03,1.54,NaN,2.23,215.45,646.38,22-02-2019,22,2,2019
Nasik,30.79,55.1,1.23,18.02,10.32,30.1,11.25,0.69,61.65,1.85,8.18,1.23,2.25,NaN,2.11,189.07,682.91,23-02-2019,23,2,2019
Nasik,31.14,68.58,1.23,19.86,11.4,30.47,4.43,0.81,74.62,2.48,9.51,1.79,2.56,NaN,2.2,224.7,644.32,24-02-2019,24,2,2019
Nasik,32.67,88.5,1.19,12.79,7.44,25.27,5.31,0.64,63.23,1.76,6.71,0.9,1.73,NaN,2.2,219.09,628.78,25-02-2019,25,2,2019
Nasik,34.97,158.26,1.41,9.2,5.69,25.1,3.75,0.57,55.29,1.62,6.34,0.91,1.32,NaN,2.61,236.3,625.2,26-02-2019,26,2,2019
Nasik,28.73,79.02,1.32,6.84,4.26,27.59,3.37,0.53,49.65,1.69,5.23,0.84,0.95,NaN,2.65,220.33,580.13,27-02-2019,27,2,2019
Nasik,27.86,67.23,6.31,22.03,16.69,32.35,5.47,0.97,52.98,2.95,12.81,2.64,4.55,NaN,1.73,157.44,678.96,28-02-2019,28,2,2019
Nasik,40.92,84.05,11.48,30.43,25.61,33.18,10.74,1.4,57.98,4.91,17.57,4.25,7.38,NaN,2.15,168.91,572.25,01-03-2019,1,3,2019
Nasik,39.53,95.96,4.89,30.12,19.59,33.22,10.06,1.24,75.06,4.76,16.53,4.2,6.46,NaN,2.82,219.35,609.24,02-03-2019,2,3,2019
Nasik,17.3,37.5,1.14,5.44,3.68,34.3,4.5,0.51,92.01,1.06,5.38,0.82,1.17,NaN,2.82,287.71,497.68,03-03-2019,3,3,2019
Nasik,51.64,74.77,1.42,7.1,4.73,34.45,3.27,0.39,45,0.31,3.08,0.31,0.6,NaN,3.46,285.54,690.51,04-03-2019,4,3,2019
Nasik,39.06,87.61,1.11,7.12,4.43,23.34,3.28,0.42,61.05,2.23,6.24,3.11,2.15,NaN,2.33,243.3,605.13,05-03-2019,5,3,2019
Nasik,37.27,75.45,1.05,9.36,5.56,16.8,3.68,0.51,85.71,1.28,5.98,0.6,0.97,NaN,2.16,238.95,659.6,06-03-2019,6,3,2019
Nasik,49.56,91.5,1.14,14.65,8.12,24.46,3.98,0.61,86.36,1.98,7.58,1.07,1.46,NaN,1.75,208.34,701.31,07-03-2019,7,3,2019
Nasik,54.92,97.26,1.1,22.28,12.36,38.94,7.44,0.75,94.04,2.47,8.62,1.38,2.1,NaN,2.05,214.42,630.54,08-03-2019,8,3,2019
Nasik,44.73,90.18,1.09,18.33,10.21,40.77,4.59,0.66,70.11,2.97,7.59,1.35,1.84,NaN,2.08,203.73,651.87,09-03-2019,9,3,2019
Nasik,41.87,79.83,1.24,16.62,9.54,34.72,5.58,0.62,78.18,2.48,8,1.24,1.74,NaN,2.2,224.33,675.98,10-03-2019,10,3,2019
Nasik,47.81,110.79,0.98,13.27,7.54,34.79,4.12,0.5,70.89,1.35,6.64,0.83,1.41,NaN,2.6,223.88,638.76,11-03-2019,11,3,2019
Nasik,44.91,92.08,2.07,19.54,12.06,33.99,10.92,0.64,70.46,1.72,9.16,1.85,2.6,NaN,2.19,200,674.29,12-03-2019,12,3,2019
Nasik,40.37,87.65,0.88,11.47,6.54,29.66,5.78,0.51,110.25,1.41,7.77,1.07,1.37,NaN,2.37,259.4,634.22,13-03-2019,13,3,2019
Nasik,37.38,60.83,0.94,12.23,6.93,30.7,4.98,0.5,81.43,0.99,5.96,0.75,1.21,NaN,2.37,232.39,594.91,14-03-2019,14,3,2019
Nasik,45.65,78.94,9.1,27.48,22.12,32.97,13.47,0.93,77.6,2.94,10.42,2.38,3.93,NaN,2.42,217.25,689.26,15-03-2019,15,3,2019
Nasik,42.46,83.65,2.43,25.17,14.91,32.43,9.69,0.83,82.2,2.59,9.87,1.79,3.23,NaN,2.42,183.84,660.32,16-03-2019,16,3,2019
Nasik,47.29,72.78,1.22,18.91,10.8,30.36,5.77,0.73,103.56,2.3,7.94,1.06,1.71,NaN,2.15,263.75,563.23,17-03-2019,17,3,2019
Nasik,48.49,93.22,1.13,17.07,9.65,32.01,6.74,0.68,95.56,2.22,7.71,1.15,1.83,NaN,2.16,200.75,721.54,18-03-2019,18,3,2019
Nasik,42.22,84.07,1.64,16.14,9.55,31.58,6.09,0.65,93.67,2.04,7.2,1.24,1.74,NaN,1.98,198.94,690.15,19-03-2019,19,3,2019
Nasik,50.55,109.2,1.06,14.53,8.32,32.6,7.24,0.67,93.63,2.41,7.35,1.08,1.37,NaN,2.51,246.57,638.02,20-03-2019,20,3,2019
Nasik,30.56,52.91,1.26,11.23,6.69,27.81,4.15,0.63,60.55,1.56,6.12,0.71,1.16,NaN,2.6,233.31,681.36,21-03-2019,21,3,2019
Nasik,41.99,67.65,1.32,15.09,8.74,30.03,4.5,0.58,61.47,1.46,6.87,0.89,1.69,NaN,2.03,229.93,694.05,22-03-2019,22,3,2019
Nasik,46.62,76.65,1.31,19.48,11.05,34.38,6.66,0.72,87.7,2.88,7.76,1.81,2.1,NaN,2.01,193.71,741.97,23-03-2019,23,3,2019
Nasik,44.48,68.82,1.54,20.19,12.03,37.4,5.25,0.83,80.08,2.65,8.63,1.98,2.72,NaN,1.77,152.76,794.95,24-03-2019,24,3,2019
Nasik,47.03,72.05,1.45,8.44,5.32,25.29,4.49,0.5,90.04,0.59,3.25,0.23,0.53,NaN,2.46,289.26,252,25-03-2019,25,3,2019
Nasik,53.83,89.25,4.52,21.4,15.06,32.13,3.18,0.75,59.85,2.38,9.83,1.92,3.63,NaN,2.3,197.83,798.16,26-03-2019,26,3,2019
Nasik,50.18,82.75,1.38,15.98,9.29,30.63,9.03,0.6,95.41,2.1,8.7,1.87,2.68,NaN,2.24,195.74,748.3,27-03-2019,27,3,2019
Nasik,64.1,100.37,1.11,18.88,10.7,39.09,12.02,0.7,118.26,2.39,9.65,2.2,2.62,NaN,2.18,196.49,732.71,28-03-2019,28,3,2019
Nasik,67.99,99.77,1.14,17,9.65,36.75,14.27,0.62,127.54,2.26,8.06,1.2,1.89,NaN,2.21,208.3,721.11,29-03-2019,29,3,2019
Nasik,69.44,118.95,1.17,14.98,8.76,35.6,7.84,0.58,96.47,1.85,7.09,0.79,1.43,NaN,2.13,240.09,623.72,30-03-2019,30,3,2019
Nasik,55.84,81.89,1.28,22.26,12.58,43.82,4.32,0.6,63.91,1.67,8.17,1.21,1.88,NaN,1.88,209.96,190.31,31-03-2019,31,3,2019
Nasik,45.18,87.23,1.12,11.97,6.81,38.94,3.67,0.48,74.28,1.39,6.02,1.16,1.39,NaN,2.42,229.9,699.47,01-04-2019,1,4,2019
Nasik,31.96,87.93,1.41,15.17,8.93,45.6,3.58,0.53,77.15,1.43,7.45,1.46,1.88,NaN,2.38,210.66,678.42,02-04-2019,2,4,2019
Nasik,40.99,87.18,1.23,14.86,8.62,45.16,5.45,0.54,85.68,1.57,7.69,0.95,1.7,NaN,2.19,235.03,694.51,03-04-2019,3,4,2019
Nasik,39.56,90.42,1.11,14.73,8.36,45.77,4.76,0.55,84.99,1.42,7.28,1.11,1.54,NaN,2.27,242.61,566.51,04-04-2019,4,4,2019
Nasik,46.47,90.77,1.38,11.55,6.94,53.92,3.02,0.51,66.96,1.51,5.54,1.01,1.55,NaN,2.6,256.7,623.26,05-04-2019,5,4,2019
Nasik,30.43,58.45,0.93,9.42,5.16,30.48,3.15,0.4,61.86,1.25,3.98,0.57,0.95,NaN,2.96,250.84,621.99,06-04-2019,6,4,2019
Nasik,24.39,60.07,2.08,11.41,7.42,27.04,3.04,0.4,56.94,1.46,4.17,0.41,0.84,NaN,2.9,239.78,661.25,07-04-2019,7,4,2019
Nasik,31.74,74.72,1.99,9.02,5.97,36.03,3.54,0.41,59.86,1.24,4.87,0.59,1.16,NaN,2.62,256.85,659.67,08-04-2019,8,4,2019
Nasik,34.12,88.38,NaN,NaN,NaN,NaN,3.43,0.53,52.56,1.82,5.8,0.9,1.53,NaN,2.95,257.74,629.04,09-04-2019,9,4,2019
Nasik,37.9,61.08,NaN,NaN,NaN,NaN,3.79,0.45,63.77,1.1,4.82,0.55,1.09,NaN,2.85,218.89,651.25,10-04-2019,10,4,2019
Nasik,97.68,62.26,0.38,NaN,0,NaN,3.84,0.53,70.53,2.09,8.96,0.86,2.58,NaN,2.4,227.48,658.16,11-04-2019,11,4,2019
Nasik,41.17,76.41,17.81,36.42,33.02,60.94,4.75,0.56,82.78,3.04,13.53,1.13,3.94,NaN,2.35,236.23,653.54,12-04-2019,12,4,2019
Nasik,39.19,83.03,1.43,33.44,18.9,55.79,6.53,0.58,86.53,3.06,13.21,1.26,5.01,NaN,2.3,226.21,680.76,13-04-2019,13,4,2019
Nasik,41.1,93.39,1.32,31.33,17.55,55.64,7.5,0.55,98.41,2.6,12.03,1.31,3.69,NaN,2.3,234.73,634,14-04-2019,14,4,2019
Nasik,40.14,66.21,1.68,30.64,17.3,57.95,6.77,0.71,97.98,3.54,15.41,1.98,7.87,NaN,2.61,201.05,667.21,15-04-2019,15,4,2019
Nasik,41.99,89.81,1.39,25.72,14.48,55.9,5.75,0.67,73.67,3.38,16.25,2.53,8.14,NaN,2.07,189.96,444.48,16-04-2019,16,4,2019
Nasik,25.83,85.32,0.92,15.72,8.83,44.63,4.56,0.42,87.05,1.34,9.42,0.83,2.77,NaN,2.98,267.39,756.35,17-04-2019,17,4,2019
