City,PM2_5,PM10,NO,NO2,NOx,SO2,CO,Ozone,Benzene,Toluene,MP-Xylene,Temp,RH,WS,WD,SR,BP,VWS,Xylene,RF,TOT-RF,date,day,month,year
Pune,125.41,203.3,32.97,14.84,51.1,84.07,1.14,11.34,2.85,1.57,NaN,27.36,NaN,0.28,124.75,NaN,NaN,NaN,NaN,0.32,30.24,01-01-2019,1,1,2019
Pune,95.27,170.37,32.75,14.74,50.48,83.48,0.78,11.4,2.28,1.14,NaN,32.81,NaN,0.28,122.43,NaN,NaN,NaN,NaN,0.22,21.07,02-01-2019,2,1,2019
Pune,81.5,153.04,35.73,16.08,55.39,88.23,1.13,11.45,2.23,1.15,NaN,32.5,NaN,0.28,124.11,NaN,NaN,NaN,NaN,0.22,21.43,03-01-2019,3,1,2019
Pune,88.87,151.95,31.44,14.15,48.53,80.16,1.17,11.43,2.2,1.21,NaN,32.12,NaN,0.28,116.17,NaN,NaN,NaN,NaN,0.24,23.05,04-01-2019,4,1,2019
Pune,91.47,159.32,28.73,12.93,44.04,73.49,0.95,11.44,1.73,0.88,NaN,36.54,NaN,0.28,132.06,NaN,NaN,NaN,NaN,0.18,17.19,05-01-2019,5,1,2019
Pune,89.68,148.55,25.39,11.43,38.46,64.75,0.28,11.36,1.3,0.61,NaN,32.69,NaN,0.28,152.51,NaN,NaN,NaN,NaN,0.15,14.69,06-01-2019,6,1,2019
Pune,90.47,176.88,25.35,11.41,38.87,65.01,0.77,11.37,2.28,1.25,NaN,36.23,NaN,0.28,119.93,NaN,NaN,NaN,NaN,0.23,23.37,07-01-2019,7,1,2019
Pune,106.42,204.41,35.3,15.88,54.48,88.16,0.78,11.6,2.35,1.3,NaN,32.88,NaN,0.28,107.8,NaN,NaN,NaN,NaN,0.24,22.82,08-01-2019,8,1,2019
Pune,111.09,207.15,35.7,16.06,54.98,90.05,0.79,11.6,2.58,1.37,NaN,33.27,NaN,0.28,135.3,NaN,NaN,NaN,NaN,0.27,25.73,09-01-2019,9,1,2019
Pune,114.58,208.31,33.92,15.26,52.58,85.64,1.03,11.56,2.89,1.48,NaN,33.72,NaN,0.28,115.62,NaN,NaN,NaN,NaN,0.37,35.86,10-01-2019,10,1,2019
Pune,101.1,167.11,25.33,11.4,39.26,64.59,0.51,11.3,1.21,0.52,NaN,34.59,NaN,0.28,151.8,NaN,NaN,NaN,NaN,0.11,10.49,11-01-2019,11,1,2019
Pune,84.96,142.16,20.56,9.25,31.87,52.38,1.37,11.29,0.92,0.38,NaN,30.51,NaN,0.28,129.29,NaN,NaN,NaN,NaN,0.09,8.58,12-01-2019,12,1,2019
Pune,91.74,171.6,18.55,8.35,27.37,47.3,1.56,11.36,1.05,0.43,NaN,35.6,NaN,0.28,151.72,NaN,NaN,NaN,NaN,0.12,11.33,13-01-2019,13,1,2019
Pune,93.61,158.24,15.97,7.19,22.84,40.72,1.25,11.38,2.58,1.35,NaN,37.67,NaN,0.28,125.05,NaN,NaN,NaN,NaN,0.31,29.92,14-01-2019,14,1,2019
Pune,109.85,192.56,16.42,7.39,22.79,41.88,0.97,11.39,3.02,1.59,NaN,36.18,NaN,0.28,101.71,NaN,NaN,NaN,NaN,0.31,29.44,15-01-2019,15,1,2019
Pune,106.29,176.31,21.65,9.74,31.63,55.21,0.42,11.61,2.76,1.44,NaN,37.07,NaN,0.28,111.3,NaN,NaN,NaN,NaN,0.24,22.48,16-01-2019,16,1,2019
Pune,100.65,181.12,16.31,7.34,24.25,41.6,0.91,11.52,2.05,1.06,NaN,33.86,NaN,0.28,140.07,NaN,NaN,NaN,NaN,0.21,20.02,17-01-2019,17,1,2019
