City,PM2_5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,O,WS,WD,SR,date,day,month,year
Thane,92.69,253.96,33.7,87.44,66.75,11.25,27.93,1.74,24.17,24.23,140.81,NaN,23.62,22.33,0.69,201.58,159.99,01-01-2019,1,1,2019
Thane,87.21,245.72,48.88,94.23,78.4,12.66,27.56,1.74,31.79,23.79,138.36,NaN,24.19,23.03,0.7,194.71,158.91,02-01-2019,2,1,2019
Thane,102.53,346.07,38.34,112.64,81.98,14.47,29.29,1.92,25.88,30.51,193.34,NaN,30.2,23.08,0.75,185.92,147.71,03-01-2019,3,1,2019
Thane,103.6,272.5,37.98,105.84,78.18,15.57,26.28,1.83,19.79,24.85,140.97,NaN,31.03,22.63,0.63,190.28,152.7,04-01-2019,4,1,2019
Thane,94.85,335.12,31.37,111.33,77.38,16.3,24.49,1.66,24.71,23.95,138.67,NaN,26.76,22.64,0.74,197.14,138.1,05-01-2019,5,1,2019
Thane,85.25,245.48,16.87,92.57,59.5,15.07,39,1.52,17.15,22.9,122.57,NaN,23.13,22.52,0.65,188.9,163.22,06-01-2019,6,1,2019
Thane,59.95,175.65,13.73,73.01,48.52,12.15,45.87,1.06,19.63,15.49,112.97,NaN,15.83,23.84,0.83,131.54,160.84,07-01-2019,7,1,2019
Thane,68.61,187.57,9.87,79.38,48.21,12.06,36.98,1.06,24.09,19.09,113.32,NaN,16.52,23.12,0.77,179.26,159.81,08-01-2019,8,1,2019
Thane,64.38,211.8,10.58,72.59,45.94,11.93,32.91,1.14,56.88,14.22,45.07,NaN,12.77,26.94,0.95,234.35,146.47,09-01-2019,9,1,2019
Thane,93.65,273.93,21.05,112.72,71.68,14.57,22.32,1.63,27.04,21.44,131.41,NaN,22.37,22.78,0.74,192.19,136.8,10-01-2019,10,1,2019
Thane,91.73,259,17.67,130.46,78.78,17.72,18.7,1.89,21.57,22.07,134.26,NaN,24.81,21.72,0.61,180.09,142.41,11-01-2019,11,1,2019
Thane,104.4,292.94,17.13,158.91,93.41,24.29,18.92,1.78,23.82,22.19,88.87,NaN,24.07,21.81,0.75,193.46,130.81,12-01-2019,12,1,2019
Thane,81.83,219.44,13.33,129.63,76.66,22.73,19.48,1.44,26.49,19.36,131.02,NaN,21.01,22.25,0.71,201.97,143.1,13-01-2019,13,1,2019
